time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2024-01-30T00:00:00.0000000Z,2024-01-29T00:00:00.4040000Z,2024-01-29T23:59:58.6540000Z,0.5242,0.54,0.5193,0.5352,315775356.0,149817
2024-01-31T00:00:00.0000000Z,2024-01-30T00:00:00.0260000Z,2024-01-30T23:59:59.0160000Z,0.5351,0.5393,0.5071,0.5107,550751129.0,286432
2024-02-01T00:00:00.0000000Z,2024-01-31T00:00:00.1660000Z,2024-01-31T23:59:41.6950000Z,0.5106,0.5144,0.4853,0.5033,485421774.0,259626
2024-02-02T00:00:00.0000000Z,2024-02-01T00:00:00.2200000Z,2024-02-01T23:59:58.8700000Z,0.5033,0.5107,0.49,0.5058,339711167.0,168991
2024-02-03T00:00:00.0000000Z,2024-02-02T00:00:00.1400000Z,2024-02-02T23:59:59.9730000Z,0.5057,0.5142,0.4987,0.5105,355889186.0,149458
2024-02-04T00:00:00.0000000Z,2024-02-03T00:00:00.8630000Z,2024-02-03T23:59:43.3960000Z,0.5106,0.527,0.506,0.5186,252209031.0,145109
2024-02-05T00:00:00.0000000Z,2024-02-04T00:00:00.2270000Z,2024-02-04T23:59:59.8280000Z,0.5187,0.5192,0.5003,0.5032,142382611.0,87896
2024-02-06T00:00:00.0000000Z,2024-02-05T00:00:00.1580000Z,2024-02-05T23:59:43.6560000Z,0.5031,0.5143,0.4969,0.5069,285031948.0,134230
2024-02-07T00:00:00.0000000Z,2024-02-06T00:00:00.1360000Z,2024-02-06T23:59:57.7890000Z,0.5069,0.5112,0.4988,0.505,269823721.0,131757
2024-02-08T00:00:00.0000000Z,2024-02-07T00:00:00.1420000Z,2024-02-07T23:59:59.4580000Z,0.505,0.5155,0.4993,0.5138,317178707.0,153280
2024-02-09T00:00:00.0000000Z,2024-02-08T00:00:00.2180000Z,2024-02-08T23:59:58.4550000Z,0.5138,0.52,0.5101,0.5147,318267936.0,163535
2024-02-10T00:00:00.0000000Z,2024-02-09T00:00:00.1370000Z,2024-02-09T23:59:57.5360000Z,0.5146,0.5282,0.514,0.5262,380585615.0,186326
2024-02-11T00:00:00.0000000Z,2024-02-10T00:00:00.2090000Z,2024-02-10T23:59:54.9730000Z,0.5262,0.5282,0.5186,0.5239,136051851.0,86130
2024-02-12T00:00:00.0000000Z,2024-02-11T00:00:00.0690000Z,2024-02-11T23:59:53.1190000Z,0.5239,0.536,0.5216,0.5261,218992618.0,125536
2024-02-13T00:00:00.0000000Z,2024-02-12T00:00:00.2220000Z,2024-02-12T23:59:59.9520000Z,0.5262,0.538,0.5143,0.5315,375108712.0,194917
2024-02-14T00:00:00.0000000Z,2024-02-13T00:00:00.1590000Z,2024-02-13T23:59:59.9570000Z,0.5315,0.5338,0.514,0.5247,398803382.0,194280
2024-02-15T00:00:00.0000000Z,2024-02-14T00:00:00.1810000Z,2024-02-14T23:59:58.2580000Z,0.5246,0.5418,0.5203,0.5378,401532325.0,188380
2024-02-16T00:00:00.0000000Z,2024-02-15T00:00:00.2770000Z,2024-02-15T23:59:59.4250000Z,0.5378,0.5769,0.537,0.5622,640603801.0,353417
2024-02-17T00:00:00.0000000Z,2024-02-16T00:00:00.2130000Z,2024-02-16T23:59:59.9930000Z,0.5622,0.5791,0.5523,0.5643,522111567.0,296142
2024-02-18T00:00:00.0000000Z,2024-02-17T00:00:00.2520000Z,2024-02-17T23:59:59.0730000Z,0.5643,0.5655,0.5392,0.5496,253959250.0,152329
2024-02-19T00:00:00.0000000Z,2024-02-18T00:00:00.1700000Z,2024-02-18T23:59:59.3800000Z,0.5496,0.5625,0.5471,0.5571,199644484.0,135531
